,topic no,words
0,1,"0.004*""free"" + 0.003*""today"" + 0.003*""smoke"" + 0.003*""drink"" + 0.003*""coming"" + 0.003*""come"" + 0.003*""chain"" + 0.003*""high"" + 0.003*""shoot"" + 0.003*""lord"""
1,2,"0.004*""trouble"" + 0.004*""sometimes"" + 0.004*""view"" + 0.003*""exactly"" + 0.003*""chasing"" + 0.003*""making"" + 0.003*""stop"" + 0.003*""seems"" + 0.003*""work"" + 0.003*""true"""
2,3,"0.006*""count"" + 0.005*""choose"" + 0.004*""trynna"" + 0.004*""great"" + 0.004*""something"" + 0.004*""guess"" + 0.004*""million"" + 0.003*""momma"" + 0.003*""trap"" + 0.003*""bring"""
3,4,"0.004*""cole"" + 0.004*""bitch"" + 0.004*""world"" + 0.004*""girl"" + 0.004*""right"" + 0.003*""money"" + 0.003*""time"" + 0.003*""love"" + 0.003*""want"" + 0.003*""good"""
4,5,"0.006*""love"" + 0.006*""trap"" + 0.005*""somebody"" + 0.005*""moment"" + 0.004*""seem"" + 0.004*""tried"" + 0.003*""hello"" + 0.003*""supposed"" + 0.003*""want"" + 0.003*""raise"""
