,topic no,words
0,1,"0.044*""last"" + 0.043*""home"" + 0.036*""feel"" + 0.032*""still"" + 0.031*""gone"" + 0.029*""never"" + 0.026*""friend"" + 0.026*""good"" + 0.024*""love"" + 0.024*""child"""
1,2,"0.052*""woman"" + 0.040*""wall"" + 0.039*""home"" + 0.037*""back"" + 0.033*""water"" + 0.029*""come"" + 0.028*""said"" + 0.028*""last"" + 0.027*""girl"" + 0.026*""think"""
2,3,"0.067*""life"" + 0.045*""heart"" + 0.041*""love"" + 0.038*""eye"" + 0.036*""girl"" + 0.030*""wrong"" + 0.029*""come"" + 0.029*""dark"" + 0.026*""know"" + 0.026*""time"""
3,4,"0.072*""time"" + 0.070*""leave"" + 0.058*""first"" + 0.056*""feel"" + 0.053*""really"" + 0.037*""dark"" + 0.031*""road"" + 0.030*""said"" + 0.030*""thought"" + 0.029*""another"""
4,5,"0.065*""want"" + 0.050*""another"" + 0.043*""night"" + 0.040*""make"" + 0.040*""little"" + 0.040*""tear"" + 0.036*""said"" + 0.035*""child"" + 0.029*""hand"" + 0.028*""hold"""
