,topic no,words
0,1,"0.034*""away"" + 0.023*""everything"" + 0.022*""well"" + 0.022*""love"" + 0.020*""people"" + 0.020*""world"" + 0.020*""hear"" + 0.016*""long"" + 0.015*""always"" + 0.015*""thing"""
1,2,"0.042*""want"" + 0.034*""guess"" + 0.029*""love"" + 0.027*""hold"" + 0.025*""baby"" + 0.024*""come"" + 0.023*""right"" + 0.023*""morning"" + 0.020*""hard"" + 0.019*""saying"""
2,3,"0.032*""dance"" + 0.025*""back"" + 0.022*""around"" + 0.021*""go"" + 0.020*""talk"" + 0.019*""night"" + 0.017*""take"" + 0.017*""love"" + 0.016*""said"" + 0.015*""need"""
3,4,"0.030*""love"" + 0.023*""feel"" + 0.023*""right"" + 0.021*""girl"" + 0.020*""take"" + 0.019*""little"" + 0.018*""night"" + 0.016*""hand"" + 0.016*""sound"" + 0.015*""baby"""
4,5,"0.036*""another"" + 0.031*""thing"" + 0.019*""give"" + 0.019*""something"" + 0.018*""show"" + 0.018*""crazy"" + 0.018*""timberlake"" + 0.017*""lady"" + 0.017*""call"" + 0.017*""girl"""
