,topic no,words
0,1,"0.890*""cause"" + 0.066*""know"" + 0.045*""time"""
1,2,"0.630*""know"" + 0.286*""time"" + 0.084*""cause"""
2,3,"0.335*""cause"" + 0.333*""know"" + 0.331*""time"""
3,4,"0.648*""time"" + 0.192*""cause"" + 0.160*""know"""
4,5,"0.507*""know"" + 0.450*""cause"" + 0.043*""time"""
