,topic no,words
0,1,"0.141*""never"" + 0.102*""know"" + 0.083*""take"" + 0.069*""heart"" + 0.065*""nothing"" + 0.050*""girl"" + 0.049*""look"" + 0.046*""even"" + 0.045*""done"" + 0.040*""love"""
1,2,"0.044*""know"" + 0.044*""night"" + 0.044*""heart"" + 0.044*""girl"" + 0.044*""never"" + 0.043*""nothing"" + 0.043*""take"" + 0.043*""cause"" + 0.043*""make"" + 0.043*""away"""
2,3,"0.250*""night"" + 0.109*""give"" + 0.085*""away"" + 0.074*""love"" + 0.073*""heart"" + 0.047*""even"" + 0.039*""girl"" + 0.032*""know"" + 0.021*""feel"" + 0.021*""cause"""
3,4,"0.081*""heart"" + 0.068*""right"" + 0.064*""time"" + 0.054*""feel"" + 0.054*""know"" + 0.045*""cause"" + 0.043*""nothing"" + 0.042*""make"" + 0.040*""take"" + 0.039*""never"""
4,5,"0.116*""life"" + 0.113*""tell"" + 0.065*""want"" + 0.064*""cause"" + 0.060*""girl"" + 0.057*""love"" + 0.055*""make"" + 0.055*""feel"" + 0.044*""anything"" + 0.043*""nothing"""
