,topic no,words
0,1,"0.009*""baby"" + 0.009*""love"" + 0.007*""chorus"" + 0.006*""friend"" + 0.006*""know"" + 0.006*""need"" + 0.006*""want"" + 0.006*""life"" + 0.006*""lady"" + 0.006*""time"""
1,2,"0.017*""nigga"" + 0.015*""outta"" + 0.010*""pocket"" + 0.007*""rock"" + 0.007*""gone"" + 0.007*""saying"" + 0.006*""real"" + 0.006*""free"" + 0.006*""blowin"" + 0.005*""high"""
2,3,"0.010*""drop"" + 0.007*""question"" + 0.007*""happy"" + 0.007*""everybody"" + 0.006*""state"" + 0.006*""green"" + 0.005*""hell"" + 0.005*""dream"" + 0.005*""glass"" + 0.005*""stage"""
3,4,"0.007*""bitch"" + 0.005*""girl"" + 0.005*""said"" + 0.005*""used"" + 0.005*""always"" + 0.005*""fuck"" + 0.005*""beat"" + 0.005*""shit"" + 0.005*""world"" + 0.005*""alone"""
4,5,"0.009*""feel"" + 0.009*""tonight"" + 0.007*""last"" + 0.007*""without"" + 0.006*""groupie"" + 0.006*""long"" + 0.006*""talk"" + 0.005*""plan"" + 0.005*""fucked"" + 0.005*""dollar"""
