,topic no,words
0,1,"0.024*""feat"" + 0.007*""makin"" + 0.005*""gangsta"" + 0.005*""turned"" + 0.005*""bass"" + 0.005*""berner"" + 0.005*""extreme"" + 0.005*""august"" + 0.005*""hangover"" + 0.005*""prodigy"""
1,2,"0.005*""night"" + 0.004*""stand"" + 0.004*""dude"" + 0.004*""real"" + 0.004*""woah"" + 0.004*""late"" + 0.004*""band"" + 0.004*""rain"" + 0.003*""help"" + 0.003*""feeling"""
2,3,"0.004*""money"" + 0.004*""bitch"" + 0.004*""gang"" + 0.003*""girl"" + 0.003*""high"" + 0.003*""shit"" + 0.003*""smoke"" + 0.003*""taylor"" + 0.003*""cause"" + 0.003*""smoking"""
3,4,"0.006*""fuckin"" + 0.005*""level"" + 0.004*""real"" + 0.004*""drug"" + 0.004*""mary"" + 0.004*""damn"" + 0.003*""change"" + 0.003*""throw"" + 0.003*""rollin"" + 0.003*""homie"""
4,5,"0.003*""blue"" + 0.003*""hittin"" + 0.003*""hoping"" + 0.003*""money"" + 0.003*""gone"" + 0.003*""grind"" + 0.002*""cloud"" + 0.002*""rich"" + 0.002*""spend"" + 0.002*""round"""
