,topic no,words
0,1,"0.046*""heart"" + 0.045*""right"" + 0.044*""know"" + 0.042*""love"" + 0.041*""time"" + 0.041*""need"" + 0.040*""think"" + 0.031*""girl"" + 0.029*""want"" + 0.029*""feel"""
1,2,"0.062*""come"" + 0.043*""alone"" + 0.038*""take"" + 0.037*""back"" + 0.035*""blue"" + 0.035*""tear"" + 0.032*""love"" + 0.031*""understand"" + 0.029*""never"" + 0.029*""nothing"""
2,3,"0.077*""still"" + 0.063*""friend"" + 0.048*""good"" + 0.041*""night"" + 0.039*""life"" + 0.038*""find"" + 0.038*""hear"" + 0.036*""dream"" + 0.035*""cause"" + 0.033*""look"""
3,4,"0.063*""care"" + 0.061*""night"" + 0.057*""away"" + 0.043*""find"" + 0.041*""home"" + 0.038*""kiss"" + 0.032*""eye"" + 0.029*""dream"" + 0.028*""maybe"" + 0.026*""always"""
4,5,"0.115*""thing"" + 0.097*""girl"" + 0.055*""take"" + 0.046*""head"" + 0.036*""care"" + 0.029*""nothing"" + 0.027*""year"" + 0.025*""understand"" + 0.022*""tear"" + 0.021*""never"""
