,topic no,words
0,1,"0.034*""thing"" + 0.029*""away"" + 0.029*""word"" + 0.028*""said"" + 0.027*""back"" + 0.026*""go"" + 0.024*""care"" + 0.022*""show"" + 0.020*""need"" + 0.020*""take"""
1,2,"0.035*""love"" + 0.029*""little"" + 0.028*""mind"" + 0.027*""give"" + 0.024*""lost"" + 0.022*""girl"" + 0.021*""want"" + 0.020*""maybe"" + 0.020*""baby"" + 0.019*""heart"""
2,3,"0.033*""someone"" + 0.033*""something"" + 0.030*""kiss"" + 0.024*""stay"" + 0.023*""face"" + 0.022*""leave"" + 0.020*""sorry"" + 0.020*""darling"" + 0.019*""told"" + 0.019*""tell"""
3,4,"0.034*""please"" + 0.031*""look"" + 0.029*""want"" + 0.028*""made"" + 0.026*""wait"" + 0.024*""tell"" + 0.022*""night"" + 0.020*""everything"" + 0.020*""dream"" + 0.020*""away"""
4,5,"0.068*""tryna"" + 0.038*""mind"" + 0.034*""might"" + 0.029*""face"" + 0.025*""darling"" + 0.025*""baby"" + 0.024*""start"" + 0.023*""wrong"" + 0.021*""away"" + 0.020*""tell"""
