,topic no,words
0,1,"0.021*""true"" + 0.017*""around"" + 0.014*""fine"" + 0.012*""feel"" + 0.012*""lloyd"" + 0.012*""please"" + 0.011*""lose"" + 0.011*""love"" + 0.011*""mine"" + 0.011*""round"""
1,2,"0.017*""take"" + 0.014*""body"" + 0.013*""heart"" + 0.012*""call"" + 0.012*""make"" + 0.011*""give"" + 0.011*""baby"" + 0.010*""love"" + 0.010*""show"" + 0.010*""back"""
2,3,"0.021*""might"" + 0.017*""party"" + 0.010*""body"" + 0.010*""name"" + 0.010*""feelin"" + 0.009*""dollar"" + 0.009*""club"" + 0.008*""talking"" + 0.008*""face"" + 0.007*""keep"""
3,4,"0.027*""chorus"" + 0.018*""stay"" + 0.017*""waiting"" + 0.016*""ride"" + 0.013*""miss"" + 0.012*""place"" + 0.012*""thing"" + 0.012*""open"" + 0.012*""little"" + 0.012*""body"""
4,5,"0.021*""head"" + 0.017*""shawty"" + 0.015*""love"" + 0.015*""open"" + 0.015*""tonight"" + 0.015*""want"" + 0.014*""baby"" + 0.014*""right"" + 0.012*""never"" + 0.011*""feeling"""
