,topic no,words
0,1,"0.030*""enough"" + 0.023*""think"" + 0.022*""hard"" + 0.021*""since"" + 0.019*""know"" + 0.018*""back"" + 0.018*""better"" + 0.017*""long"" + 0.017*""eye"" + 0.017*""right"""
1,2,"0.041*""hold"" + 0.027*""believe"" + 0.026*""love"" + 0.025*""keep"" + 0.024*""forever"" + 0.021*""away"" + 0.020*""found"" + 0.020*""find"" + 0.019*""waiting"" + 0.019*""look"""
2,3,"0.033*""wrong"" + 0.027*""really"" + 0.027*""line"" + 0.026*""leave"" + 0.026*""believe"" + 0.025*""stand"" + 0.024*""fall"" + 0.023*""anymore"" + 0.017*""world"" + 0.017*""left"""
3,4,"0.023*""never"" + 0.021*""want"" + 0.020*""cause"" + 0.019*""time"" + 0.019*""know"" + 0.019*""home"" + 0.018*""night"" + 0.017*""coming"" + 0.017*""better"" + 0.017*""always"""
4,5,"0.028*""come"" + 0.024*""around"" + 0.024*""wait"" + 0.021*""gone"" + 0.020*""good"" + 0.019*""want"" + 0.019*""told"" + 0.018*""please"" + 0.017*""love"" + 0.016*""said"""
