,topic no,words
0,1,"0.011*""love"" + 0.007*""want"" + 0.006*""never"" + 0.006*""heart"" + 0.006*""time"" + 0.006*""away"" + 0.006*""know"" + 0.006*""baby"" + 0.005*""come"" + 0.005*""feel"""
1,2,"0.010*""baby"" + 0.009*""girl"" + 0.005*""nigga"" + 0.005*""stop"" + 0.005*""take"" + 0.005*""make"" + 0.005*""come"" + 0.005*""show"" + 0.005*""sweet"" + 0.004*""hand"""
2,3,"0.012*""nigga"" + 0.007*""bitch"" + 0.007*""money"" + 0.006*""shit"" + 0.006*""girl"" + 0.006*""fuck"" + 0.004*""cause"" + 0.004*""know"" + 0.004*""real"" + 0.004*""love"""
