,topic no,words
0,1,"0.038*""baby"" + 0.033*""love"" + 0.029*""give"" + 0.023*""really"" + 0.019*""tonight"" + 0.018*""time"" + 0.018*""right"" + 0.016*""wait"" + 0.016*""never"" + 0.014*""well"""
1,2,"0.019*""make"" + 0.017*""turn"" + 0.017*""know"" + 0.016*""find"" + 0.015*""coming"" + 0.014*""back"" + 0.014*""come"" + 0.013*""cold"" + 0.013*""better"" + 0.013*""sing"""
2,3,"0.026*""never"" + 0.024*""another"" + 0.023*""long"" + 0.020*""getting"" + 0.019*""change"" + 0.019*""keep"" + 0.019*""wake"" + 0.019*""nothing"" + 0.018*""away"" + 0.018*""word"""
3,4,"0.044*""back"" + 0.024*""everyone"" + 0.023*""think"" + 0.023*""alright"" + 0.022*""bone"" + 0.021*""call"" + 0.020*""come"" + 0.017*""day"" + 0.016*""without"" + 0.015*""black"""
4,5,"0.029*""round"" + 0.022*""back"" + 0.022*""everything"" + 0.021*""want"" + 0.018*""star"" + 0.017*""make"" + 0.016*""free"" + 0.015*""line"" + 0.015*""fall"" + 0.014*""come"""
