,topic no,words
0,1,"0.038*""something"" + 0.029*""take"" + 0.026*""love"" + 0.020*""want"" + 0.020*""time"" + 0.020*""knew"" + 0.020*""round"" + 0.018*""come"" + 0.018*""know"" + 0.017*""give"""
1,2,"0.048*""need"" + 0.029*""dream"" + 0.026*""christmas"" + 0.023*""love"" + 0.023*""home"" + 0.022*""walk"" + 0.020*""good"" + 0.020*""guess"" + 0.018*""keep"" + 0.017*""baby"""
2,3,"0.024*""heart"" + 0.023*""better"" + 0.021*""love"" + 0.019*""cause"" + 0.019*""rain"" + 0.018*""night"" + 0.017*""break"" + 0.016*""even"" + 0.016*""girl"" + 0.015*""last"""
3,4,"0.060*""christmas"" + 0.034*""night"" + 0.023*""light"" + 0.023*""goodbye"" + 0.022*""little"" + 0.021*""year"" + 0.020*""shining"" + 0.019*""long"" + 0.019*""hear"" + 0.018*""star"""
4,5,"0.028*""good"" + 0.024*""home"" + 0.023*""baby"" + 0.021*""hold"" + 0.020*""never"" + 0.020*""fire"" + 0.019*""keep"" + 0.019*""alone"" + 0.019*""love"" + 0.017*""really"""
