,topic no,words
0,1,"0.022*""want"" + 0.021*""know"" + 0.016*""cause"" + 0.013*""world"" + 0.013*""back"" + 0.013*""waiting"" + 0.012*""make"" + 0.012*""baby"" + 0.011*""friend"" + 0.011*""well"""
1,2,"0.026*""walk"" + 0.018*""alone"" + 0.018*""tonight"" + 0.016*""feel"" + 0.016*""call"" + 0.015*""time"" + 0.014*""gone"" + 0.013*""even"" + 0.012*""around"" + 0.012*""home"""
2,3,"0.029*""right"" + 0.020*""love"" + 0.018*""around"" + 0.018*""kind"" + 0.016*""one"" + 0.016*""waste"" + 0.015*""burn"" + 0.015*""away"" + 0.014*""understand"" + 0.014*""time"""
3,4,"0.016*""lose"" + 0.015*""light"" + 0.015*""sometimes"" + 0.013*""soon"" + 0.013*""pretty"" + 0.013*""something"" + 0.013*""well"" + 0.013*""look"" + 0.013*""must"" + 0.012*""always"""
4,5,"0.016*""little"" + 0.015*""alright"" + 0.015*""give"" + 0.014*""care"" + 0.013*""kiss"" + 0.012*""heart"" + 0.011*""jimmy"" + 0.011*""went"" + 0.010*""know"" + 0.010*""away"""
