,topic no,words
0,1,"0.033*""stop"" + 0.021*""loving"" + 0.017*""mine"" + 0.014*""friend"" + 0.013*""wish"" + 0.013*""break"" + 0.012*""inside"" + 0.012*""thing"" + 0.011*""matter"" + 0.011*""life"""
1,2,"0.018*""change"" + 0.017*""forever"" + 0.017*""shine"" + 0.017*""sound"" + 0.015*""look"" + 0.014*""lady"" + 0.014*""body"" + 0.014*""dance"" + 0.012*""floor"" + 0.011*""star"""
2,3,"0.017*""line"" + 0.017*""alone"" + 0.015*""baby"" + 0.014*""night"" + 0.014*""leave"" + 0.012*""nobody"" + 0.012*""love"" + 0.012*""right"" + 0.011*""going"" + 0.011*""come"""
3,4,"0.022*""hold"" + 0.015*""girl"" + 0.014*""really"" + 0.013*""around"" + 0.012*""love"" + 0.012*""gone"" + 0.012*""want"" + 0.010*""away"" + 0.010*""keep"" + 0.010*""baby"""
4,5,"0.021*""give"" + 0.014*""baby"" + 0.014*""dance"" + 0.014*""love"" + 0.013*""girl"" + 0.013*""child"" + 0.013*""take"" + 0.013*""want"" + 0.013*""rock"" + 0.012*""hand"""
