,topic no,words
0,1,"0.014*""well"" + 0.012*""feel"" + 0.012*""baby"" + 0.012*""alright"" + 0.011*""cold"" + 0.011*""look"" + 0.010*""seen"" + 0.010*""together"" + 0.009*""cloud"" + 0.009*""town"""
1,2,"0.018*""baby"" + 0.017*""love"" + 0.014*""know"" + 0.013*""together"" + 0.011*""understand"" + 0.011*""whoa"" + 0.010*""really"" + 0.010*""babe"" + 0.010*""honey"" + 0.010*""life"""
2,3,"0.022*""roll"" + 0.014*""rock"" + 0.012*""kick"" + 0.012*""dance"" + 0.011*""keep"" + 0.010*""mine"" + 0.010*""number"" + 0.009*""happy"" + 0.009*""soul"" + 0.009*""well"""
3,4,"0.014*""hurt"" + 0.013*""move"" + 0.011*""wrong"" + 0.011*""boy"" + 0.010*""care"" + 0.010*""well"" + 0.009*""hand"" + 0.008*""long"" + 0.008*""lie"" + 0.008*""rock"""
4,5,"0.014*""baby"" + 0.012*""want"" + 0.011*""going"" + 0.011*""love"" + 0.011*""come"" + 0.010*""girl"" + 0.009*""back"" + 0.009*""time"" + 0.008*""said"" + 0.008*""make"""
