,topic no,words
0,1,"0.086*""right"" + 0.064*""around"" + 0.059*""good"" + 0.056*""move"" + 0.053*""feel"" + 0.051*""light"" + 0.050*""night"" + 0.038*""drink"" + 0.038*""want"" + 0.036*""back"""
1,2,"0.114*""tell"" + 0.081*""love"" + 0.073*""hand"" + 0.060*""take"" + 0.055*""never"" + 0.051*""baby"" + 0.049*""make"" + 0.044*""cause"" + 0.042*""crazy"" + 0.026*""life"""
2,3,"0.087*""make"" + 0.079*""party"" + 0.067*""sing"" + 0.060*""life"" + 0.054*""want"" + 0.042*""back"" + 0.036*""hand"" + 0.036*""little"" + 0.031*""come"" + 0.028*""friend"""
3,4,"0.056*""little"" + 0.050*""time"" + 0.042*""kiss"" + 0.041*""baby"" + 0.038*""heart"" + 0.035*""night"" + 0.035*""away"" + 0.033*""never"" + 0.032*""right"" + 0.032*""song"""
4,5,"0.145*""friend"" + 0.070*""feel"" + 0.067*""even"" + 0.049*""back"" + 0.046*""star"" + 0.040*""light"" + 0.039*""come"" + 0.035*""know"" + 0.030*""hand"" + 0.026*""good"""
