,topic no,words
0,1,"0.022*""love"" + 0.018*""darling"" + 0.015*""knew"" + 0.015*""burning"" + 0.014*""never"" + 0.014*""thing"" + 0.014*""eye"" + 0.013*""people"" + 0.013*""hole"" + 0.012*""close"""
1,2,"0.024*""song"" + 0.018*""heard"" + 0.018*""think"" + 0.016*""lose"" + 0.016*""lost"" + 0.014*""dream"" + 0.014*""cause"" + 0.013*""everything"" + 0.013*""year"" + 0.013*""wait"""
2,3,"0.024*""water"" + 0.019*""take"" + 0.018*""seen"" + 0.018*""fall"" + 0.016*""give"" + 0.016*""darling"" + 0.015*""day"" + 0.014*""everything"" + 0.014*""never"" + 0.013*""night"""
3,4,"0.018*""left"" + 0.017*""ground"" + 0.017*""love"" + 0.016*""sing"" + 0.015*""sometimes"" + 0.015*""said"" + 0.014*""stay"" + 0.013*""nothing"" + 0.013*""someone"" + 0.012*""house"""
4,5,"0.020*""know"" + 0.018*""running"" + 0.016*""want"" + 0.015*""time"" + 0.015*""love"" + 0.014*""cause"" + 0.014*""year"" + 0.013*""walk"" + 0.013*""alone"" + 0.013*""find"""
