,topic no,words
0,1,"0.004*""love"" + 0.003*""guwop"" + 0.003*""money"" + 0.003*""night"" + 0.003*""fuck"" + 0.003*""baby"" + 0.003*""life"" + 0.003*""girl"" + 0.003*""feeling"" + 0.002*""shit"""
1,2,"0.002*""machine"" + 0.002*""pablo"" + 0.002*""rude"" + 0.002*""migo"" + 0.002*""gato"" + 0.002*""level"" + 0.002*""hold"" + 0.002*""print"" + 0.002*""free"" + 0.002*""chapo"""
2,3,"0.002*""agree"" + 0.002*""take"" + 0.002*""deal"" + 0.002*""realest"" + 0.002*""trust"" + 0.002*""100k"" + 0.002*""nothing"" + 0.002*""used"" + 0.002*""amigo"" + 0.002*""baby"""
3,4,"0.003*""girl"" + 0.003*""trap"" + 0.003*""time"" + 0.003*""money"" + 0.003*""back"" + 0.003*""shit"" + 0.003*""baby"" + 0.003*""love"" + 0.003*""brick"" + 0.003*""mane"""
4,5,"0.004*""mirror"" + 0.003*""welcome"" + 0.003*""breakfast"" + 0.003*""fruity"" + 0.003*""knot"" + 0.002*""murder"" + 0.002*""city"" + 0.002*""intro"" + 0.002*""pimping"" + 0.002*""circle"""
