,topic no,words
0,1,"0.958*""know"" + 0.022*""love"" + 0.020*""away"""
1,2,"0.712*""love"" + 0.247*""away"" + 0.041*""know"""
2,3,"0.407*""love"" + 0.341*""know"" + 0.251*""away"""
3,4,"0.900*""away"" + 0.060*""know"" + 0.040*""love"""
4,5,"0.425*""know"" + 0.288*""away"" + 0.287*""love"""
