,topic no,words
0,1,"0.027*""come"" + 0.027*""give"" + 0.026*""enough"" + 0.025*""another"" + 0.024*""back"" + 0.024*""tonight"" + 0.023*""world"" + 0.021*""know"" + 0.020*""baby"" + 0.020*""believe"""
1,2,"0.028*""better"" + 0.023*""right"" + 0.022*""look"" + 0.022*""come"" + 0.021*""make"" + 0.021*""still"" + 0.021*""beat"" + 0.020*""time"" + 0.019*""heart"" + 0.019*""song"""
2,3,"0.048*""night"" + 0.047*""fire"" + 0.038*""want"" + 0.033*""tell"" + 0.033*""keep"" + 0.031*""fall"" + 0.031*""made"" + 0.030*""change"" + 0.025*""light"" + 0.023*""come"""
3,4,"0.032*""little"" + 0.025*""year"" + 0.025*""baby"" + 0.025*""hear"" + 0.024*""last"" + 0.024*""going"" + 0.021*""girl"" + 0.019*""want"" + 0.019*""always"" + 0.018*""away"""
4,5,"0.040*""find"" + 0.032*""first"" + 0.028*""cause"" + 0.027*""leave"" + 0.027*""looking"" + 0.026*""eye"" + 0.024*""open"" + 0.023*""town"" + 0.023*""best"" + 0.022*""dream"""
