,topic no,words
0,1,"0.330*""feel"" + 0.306*""know"" + 0.186*""baby"" + 0.096*""come"" + 0.054*""cause"" + 0.014*""back"" + 0.014*""time"""
1,2,"0.563*""time"" + 0.177*""feel"" + 0.115*""know"" + 0.083*""cause"" + 0.023*""baby"" + 0.021*""back"" + 0.019*""come"""
2,3,"0.382*""back"" + 0.246*""baby"" + 0.203*""come"" + 0.077*""know"" + 0.034*""feel"" + 0.033*""time"" + 0.025*""cause"""
3,4,"0.452*""cause"" + 0.334*""come"" + 0.118*""time"" + 0.033*""know"" + 0.032*""baby"" + 0.016*""feel"" + 0.015*""back"""
4,5,"0.592*""back"" + 0.207*""know"" + 0.074*""baby"" + 0.041*""time"" + 0.039*""feel"" + 0.024*""come"" + 0.023*""cause"""
