,topic no,words
0,1,"0.030*""another"" + 0.029*""said"" + 0.025*""stop"" + 0.025*""stay"" + 0.021*""baby"" + 0.021*""make"" + 0.020*""know"" + 0.019*""life"" + 0.018*""away"" + 0.018*""show"""
1,2,"0.042*""back"" + 0.024*""time"" + 0.023*""know"" + 0.022*""still"" + 0.021*""think"" + 0.021*""start"" + 0.019*""make"" + 0.019*""night"" + 0.019*""close"" + 0.018*""around"""
2,3,"0.035*""want"" + 0.031*""lost"" + 0.029*""looking"" + 0.025*""wish"" + 0.024*""think"" + 0.024*""love"" + 0.023*""best"" + 0.023*""eye"" + 0.019*""night"" + 0.019*""place"""
3,4,"0.039*""give"" + 0.033*""heart"" + 0.028*""without"" + 0.025*""good"" + 0.024*""used"" + 0.024*""sweet"" + 0.021*""baby"" + 0.019*""keep"" + 0.018*""open"" + 0.016*""first"""
4,5,"0.049*""tonight"" + 0.032*""need"" + 0.032*""high"" + 0.024*""love"" + 0.024*""even"" + 0.023*""living"" + 0.023*""girl"" + 0.023*""feel"" + 0.022*""hard"" + 0.019*""something"""
