,topic no,words
0,1,"0.050*""lazer"" + 0.049*""girl"" + 0.046*""world"" + 0.045*""baby"" + 0.040*""cause"" + 0.035*""major"" + 0.032*""turn"" + 0.031*""need"" + 0.030*""make"" + 0.029*""thing"""
1,2,"0.094*""around"" + 0.073*""gimme"" + 0.047*""inna"" + 0.037*""watch"" + 0.034*""fire"" + 0.034*""thing"" + 0.030*""drop"" + 0.030*""sound"" + 0.029*""fuck"" + 0.027*""need"""
2,3,"0.054*""take"" + 0.043*""give"" + 0.043*""drop"" + 0.039*""come"" + 0.037*""stop"" + 0.035*""girl"" + 0.033*""love"" + 0.030*""night"" + 0.030*""line"" + 0.030*""back"""
3,4,"0.060*""gyal"" + 0.054*""cold"" + 0.045*""make"" + 0.043*""fire"" + 0.043*""call"" + 0.036*""hold"" + 0.033*""feel"" + 0.033*""girl"" + 0.027*""know"" + 0.026*""take"""
4,5,"0.083*""gyal"" + 0.057*""love"" + 0.052*""high"" + 0.048*""life"" + 0.040*""give"" + 0.036*""make"" + 0.031*""come"" + 0.027*""time"" + 0.026*""forget"" + 0.026*""fuck"""
