,topic no,words
0,1,"0.186*""heart"" + 0.137*""want"" + 0.132*""cause"" + 0.108*""never"" + 0.093*""love"" + 0.071*""need"" + 0.060*""make"" + 0.047*""know"" + 0.035*""care"" + 0.034*""time"""
1,2,"0.211*""love"" + 0.139*""time"" + 0.127*""need"" + 0.120*""never"" + 0.060*""feel"" + 0.059*""know"" + 0.054*""keep"" + 0.041*""baby"" + 0.040*""cause"" + 0.035*""mind"""
2,3,"0.168*""make"" + 0.142*""think"" + 0.110*""time"" + 0.083*""want"" + 0.073*""know"" + 0.069*""feel"" + 0.058*""mind"" + 0.057*""love"" + 0.054*""keep"" + 0.044*""baby"""
3,4,"0.242*""take"" + 0.211*""care"" + 0.157*""make"" + 0.082*""mind"" + 0.073*""want"" + 0.043*""cause"" + 0.035*""give"" + 0.026*""love"" + 0.021*""need"" + 0.017*""know"""
4,5,"0.189*""give"" + 0.134*""baby"" + 0.105*""think"" + 0.091*""feel"" + 0.078*""cause"" + 0.073*""know"" + 0.071*""heart"" + 0.056*""love"" + 0.054*""take"" + 0.025*""make"""
