,topic no,words
0,1,"0.071*""baby"" + 0.052*""long"" + 0.044*""heart"" + 0.041*""feel"" + 0.041*""night"" + 0.037*""love"" + 0.035*""thought"" + 0.033*""ground"" + 0.031*""never"" + 0.027*""come"""
1,2,"0.073*""arm"" + 0.062*""living"" + 0.055*""voice"" + 0.053*""fall"" + 0.050*""thing"" + 0.041*""lost"" + 0.031*""soul"" + 0.024*""remember"" + 0.023*""upon"" + 0.020*""something"""
2,3,"0.068*""hold"" + 0.045*""world"" + 0.031*""take"" + 0.031*""live"" + 0.030*""baby"" + 0.027*""eye"" + 0.027*""arm"" + 0.025*""away"" + 0.024*""hand"" + 0.024*""left"""
3,4,"0.035*""know"" + 0.033*""cause"" + 0.031*""keep"" + 0.031*""think"" + 0.027*""come"" + 0.027*""live"" + 0.026*""going"" + 0.024*""leave"" + 0.024*""hear"" + 0.023*""life"""
4,5,"0.046*""back"" + 0.033*""feel"" + 0.032*""nothing"" + 0.031*""close"" + 0.030*""help"" + 0.030*""night"" + 0.024*""together"" + 0.022*""away"" + 0.022*""wall"" + 0.022*""name"""
