,topic no,words
0,1,"0.013*""lonely"" + 0.013*""caught"" + 0.012*""care"" + 0.011*""never"" + 0.010*""long"" + 0.010*""came"" + 0.010*""whenever"" + 0.010*""live"" + 0.010*""hard"" + 0.009*""look"""
1,2,"0.027*""club"" + 0.015*""tonight"" + 0.011*""girl"" + 0.011*""part"" + 0.010*""call"" + 0.010*""right"" + 0.009*""give"" + 0.009*""hand"" + 0.009*""want"" + 0.009*""cold"""
2,3,"0.012*""make"" + 0.012*""heart"" + 0.010*""daddy"" + 0.010*""give"" + 0.010*""making"" + 0.009*""whatever"" + 0.009*""word"" + 0.009*""love"" + 0.009*""fall"" + 0.009*""need"""
3,4,"0.013*""lover"" + 0.013*""oooh"" + 0.012*""baby"" + 0.012*""took"" + 0.011*""round"" + 0.010*""best"" + 0.010*""love"" + 0.009*""else"" + 0.009*""go"" + 0.009*""look"""
4,5,"0.014*""lady"" + 0.011*""crazy"" + 0.011*""always"" + 0.011*""love"" + 0.011*""still"" + 0.010*""coming"" + 0.010*""wait"" + 0.009*""shit"" + 0.009*""baby"" + 0.009*""stop"""
