,topic no,words
0,1,"0.200*""cause"" + 0.152*""thing"" + 0.080*""make"" + 0.068*""girl"" + 0.068*""time"" + 0.056*""fast"" + 0.043*""take"" + 0.041*""come"" + 0.037*""right"" + 0.035*""never"""
1,2,"0.246*""baby"" + 0.107*""make"" + 0.065*""little"" + 0.058*""thing"" + 0.051*""love"" + 0.049*""time"" + 0.047*""night"" + 0.046*""back"" + 0.045*""fast"" + 0.040*""dance"""
2,3,"0.132*""time"" + 0.125*""never"" + 0.090*""know"" + 0.081*""night"" + 0.071*""good"" + 0.061*""right"" + 0.060*""love"" + 0.053*""back"" + 0.051*""girl"" + 0.050*""fast"""
3,4,"0.206*""love"" + 0.143*""baby"" + 0.061*""take"" + 0.061*""back"" + 0.057*""around"" + 0.055*""good"" + 0.049*""come"" + 0.041*""girl"" + 0.040*""make"" + 0.038*""dance"""
4,5,"0.134*""girl"" + 0.132*""little"" + 0.097*""baby"" + 0.081*""come"" + 0.075*""dance"" + 0.068*""take"" + 0.054*""right"" + 0.046*""make"" + 0.035*""night"" + 0.033*""love"""
