,topic no,words
0,1,"0.035*""light"" + 0.030*""leave"" + 0.030*""girl"" + 0.026*""away"" + 0.024*""keep"" + 0.021*""sayin"" + 0.020*""watch"" + 0.020*""time"" + 0.019*""make"" + 0.017*""take"""
1,2,"0.030*""nigga"" + 0.028*""shit"" + 0.020*""feelin"" + 0.020*""good"" + 0.020*""come"" + 0.018*""pharrell"" + 0.017*""music"" + 0.016*""bitch"" + 0.015*""money"" + 0.014*""still"""
2,3,"0.035*""yessir"" + 0.029*""dream"" + 0.027*""nigga"" + 0.023*""think"" + 0.022*""baby"" + 0.021*""want"" + 0.019*""best"" + 0.019*""girl"" + 0.019*""eye"" + 0.017*""wake"""
3,4,"0.037*""really"" + 0.035*""alone"" + 0.027*""baby"" + 0.025*""well"" + 0.023*""home"" + 0.021*""smile"" + 0.020*""nothing"" + 0.020*""love"" + 0.020*""time"" + 0.018*""thought"""
4,5,"0.062*""girl"" + 0.059*""young"" + 0.048*""help"" + 0.027*""smile"" + 0.022*""world"" + 0.019*""never"" + 0.019*""feel"" + 0.017*""eye"" + 0.017*""hard"" + 0.016*""love"""
