,topic no,words
0,1,"0.123*""song"" + 0.113*""take"" + 0.052*""thing"" + 0.047*""life"" + 0.043*""look"" + 0.039*""night"" + 0.035*""nothing"" + 0.035*""come"" + 0.033*""lost"" + 0.032*""love"""
1,2,"0.148*""feel"" + 0.103*""time"" + 0.080*""song"" + 0.071*""take"" + 0.061*""home"" + 0.056*""life"" + 0.045*""lost"" + 0.041*""left"" + 0.037*""want"" + 0.034*""heart"""
2,3,"0.061*""alone"" + 0.051*""night"" + 0.051*""think"" + 0.050*""better"" + 0.049*""come"" + 0.043*""home"" + 0.041*""back"" + 0.041*""never"" + 0.041*""well"" + 0.040*""stay"""
3,4,"0.167*""nothing"" + 0.090*""life"" + 0.080*""left"" + 0.054*""love"" + 0.052*""need"" + 0.050*""keep"" + 0.048*""waiting"" + 0.042*""want"" + 0.038*""better"" + 0.030*""friend"""
4,5,"0.038*""song"" + 0.038*""back"" + 0.037*""feel"" + 0.036*""find"" + 0.035*""think"" + 0.034*""come"" + 0.034*""make"" + 0.033*""want"" + 0.032*""home"" + 0.032*""alone"""
