,topic no,words
0,1,"0.006*""mama"" + 0.006*""fresh"" + 0.006*""want"" + 0.006*""think"" + 0.006*""sayin"" + 0.005*""tell"" + 0.005*""nothing"" + 0.005*""fuck"" + 0.005*""wrong"" + 0.005*""look"""
1,2,"0.011*""help"" + 0.010*""pick"" + 0.009*""world"" + 0.009*""away"" + 0.008*""song"" + 0.008*""high"" + 0.006*""great"" + 0.005*""chilling"" + 0.005*""roll"" + 0.005*""smoking"""
2,3,"0.005*""going"" + 0.005*""life"" + 0.005*""shit"" + 0.005*""fuck"" + 0.005*""bitch"" + 0.005*""back"" + 0.005*""money"" + 0.005*""girl"" + 0.005*""right"" + 0.005*""world"""
3,4,"0.010*""window"" + 0.009*""anything"" + 0.008*""enough"" + 0.007*""good"" + 0.007*""stupid"" + 0.007*""known"" + 0.007*""crazy"" + 0.006*""away"" + 0.006*""light"" + 0.006*""paper"""
4,5,"0.019*""woah"" + 0.006*""real"" + 0.006*""fucked"" + 0.006*""pray"" + 0.006*""shout"" + 0.005*""plan"" + 0.005*""happened"" + 0.005*""everything"" + 0.005*""stick"" + 0.005*""soon"""
