,topic no,words
0,1,"0.011*""flacko"" + 0.009*""bang"" + 0.009*""know"" + 0.009*""cause"" + 0.009*""bruh"" + 0.009*""talkin"" + 0.009*""gang"" + 0.009*""feeling"" + 0.008*""problem"" + 0.008*""love"""
1,2,"0.011*""best"" + 0.010*""smoking"" + 0.009*""fuckin"" + 0.009*""nice"" + 0.009*""listen"" + 0.008*""pray"" + 0.008*""want"" + 0.008*""peace"" + 0.007*""wish"" + 0.007*""codeine"""
2,3,"0.012*""kid"" + 0.010*""ball"" + 0.008*""going"" + 0.008*""time"" + 0.007*""tell"" + 0.007*""thing"" + 0.007*""forget"" + 0.007*""star"" + 0.007*""fuck"" + 0.007*""sleep"""
3,4,"0.020*""light"" + 0.013*""feel"" + 0.010*""stay"" + 0.009*""hope"" + 0.009*""change"" + 0.008*""shot"" + 0.008*""ride"" + 0.008*""leave"" + 0.007*""house"" + 0.007*""ghetto"""
4,5,"0.010*""money"" + 0.008*""back"" + 0.008*""bitch"" + 0.008*""come"" + 0.008*""love"" + 0.007*""young"" + 0.007*""rocky"" + 0.006*""pussy"" + 0.006*""fuck"" + 0.006*""night"""
