,topic no,words
0,1,"0.140*""never"" + 0.109*""back"" + 0.062*""mind"" + 0.060*""know"" + 0.057*""feel"" + 0.052*""skin"" + 0.048*""cause"" + 0.044*""head"" + 0.044*""night"" + 0.034*""world"""
1,2,"0.095*""heart"" + 0.089*""show"" + 0.067*""right"" + 0.062*""time"" + 0.060*""still"" + 0.050*""dream"" + 0.049*""take"" + 0.048*""tonight"" + 0.041*""know"" + 0.040*""tell"""
2,3,"0.129*""love"" + 0.075*""nothing"" + 0.073*""come"" + 0.068*""heart"" + 0.050*""world"" + 0.048*""right"" + 0.047*""want"" + 0.045*""next"" + 0.042*""give"" + 0.035*""know"""
3,4,"0.147*""believe"" + 0.090*""away"" + 0.082*""keep"" + 0.068*""love"" + 0.056*""night"" + 0.055*""need"" + 0.044*""world"" + 0.034*""want"" + 0.029*""touch"" + 0.028*""thing"""
4,5,"0.062*""good"" + 0.061*""feel"" + 0.059*""make"" + 0.057*""going"" + 0.051*""body"" + 0.051*""thing"" + 0.050*""need"" + 0.049*""know"" + 0.048*""night"" + 0.047*""want"""
