,topic no,words
0,1,"0.049*""girl"" + 0.037*""ride"" + 0.037*""come"" + 0.037*""cause"" + 0.037*""work"" + 0.037*""fabo"" + 0.037*""hard"" + 0.037*""right"" + 0.037*""dance"" + 0.037*""front"""
1,2,"0.154*""front"" + 0.045*""well"" + 0.044*""stay"" + 0.043*""geeked"" + 0.041*""money"" + 0.040*""fabo"" + 0.035*""time"" + 0.033*""dance"" + 0.032*""girl"" + 0.032*""roll"""
2,3,"0.102*""geeked"" + 0.102*""dance"" + 0.095*""fabo"" + 0.079*""roll"" + 0.061*""really"" + 0.046*""girl"" + 0.041*""right"" + 0.038*""front"" + 0.038*""stop"" + 0.032*""time"""
3,4,"0.048*""come"" + 0.043*""girl"" + 0.043*""tell"" + 0.038*""show"" + 0.038*""cause"" + 0.038*""really"" + 0.037*""well"" + 0.037*""nigga"" + 0.037*""stay"" + 0.036*""time"""
4,5,"0.158*""girl"" + 0.107*""nigga"" + 0.066*""money"" + 0.062*""come"" + 0.052*""cause"" + 0.040*""made"" + 0.036*""hard"" + 0.036*""work"" + 0.034*""even"" + 0.030*""right"""
