,topic no,words
0,1,"0.058*""night"" + 0.043*""heaven"" + 0.040*""angel"" + 0.030*""sing"" + 0.026*""tonight"" + 0.021*""come"" + 0.020*""stop"" + 0.019*""everything"" + 0.018*""alright"" + 0.016*""feel"""
1,2,"0.021*""thinking"" + 0.019*""baby"" + 0.017*""little"" + 0.017*""face"" + 0.017*""mind"" + 0.017*""real"" + 0.017*""inside"" + 0.016*""come"" + 0.016*""dream"" + 0.016*""well"""
2,3,"0.023*""want"" + 0.018*""baby"" + 0.017*""going"" + 0.017*""girl"" + 0.016*""forever"" + 0.015*""take"" + 0.015*""answer"" + 0.015*""believe"" + 0.014*""think"" + 0.014*""change"""
3,4,"0.021*""world"" + 0.020*""baby"" + 0.020*""people"" + 0.019*""together"" + 0.015*""time"" + 0.015*""everybody"" + 0.014*""thing"" + 0.014*""give"" + 0.014*""always"" + 0.013*""tell"""
4,5,"0.026*""think"" + 0.025*""call"" + 0.020*""want"" + 0.019*""girl"" + 0.019*""night"" + 0.018*""really"" + 0.018*""voice"" + 0.017*""woman"" + 0.016*""give"" + 0.016*""right"""
