,topic no,words
0,1,"0.011*""nigga"" + 0.007*""bitch"" + 0.005*""shit"" + 0.005*""money"" + 0.005*""fuck"" + 0.004*""love"" + 0.004*""take"" + 0.004*""girl"" + 0.004*""cause"" + 0.003*""back"""
1,2,"0.008*""woah"" + 0.006*""love"" + 0.005*""light"" + 0.005*""alone"" + 0.005*""hello"" + 0.005*""whoa"" + 0.005*""beautiful"" + 0.004*""mane"" + 0.004*""never"" + 0.003*""found"""
2,3,"0.010*""love"" + 0.008*""baby"" + 0.007*""girl"" + 0.006*""want"" + 0.005*""need"" + 0.005*""good"" + 0.005*""right"" + 0.005*""time"" + 0.005*""know"" + 0.004*""heart"""
